설립구분,표준학교코드,학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,설립일자,개교기념일,시도교육청코드,적재일시,위도,경도
공립,7051155,서울중계초등학교,서울특별시북부교육지원청,1699,서울특별시 노원구 한글비석로19길 39,/ 서울중계초등학교 (중계동),19751002,19751002,B10,20230326,37.6575094,127.0733006
공립,7051154,서울자운초등학교,서울특별시북부교육지원청,1411,서울특별시 도봉구 마들로13길 166,/ 서울자운초등학교 (창동),19970105,19970611,B10,20230326,37.6577741,127.0466339
공립,7051153,서울을지초등학교,서울특별시북부교육지원청,1741,서울특별시 노원구 중계로 239,(중계동),19940105,19940422,B10,20230326,37.650622,127.0729107
공립,7051152,서울월천초등학교,서울특별시북부교육지원청,1420,서울특별시 도봉구 노해로70길 96,(창동/서울월천초등학교),19880928,19890511,B10,20230326,37.6478352,127.0519604
공립,7051151,서울월계초등학교,서울특별시북부교육지원청,1882,서울특별시 노원구 월계로45가길 10,(월계동/월계초등학교),19920715,19930506,B10,20230326,37.6276476,127.0508093
공립,7051150,서울원광초등학교,서울특별시북부교육지원청,1713,서울특별시 노원구 덕릉로76길 18,(중계동/원광초등학교),19911030,19920701,B10,20230326,37.6539982,127.0748971
공립,7051149,서울용원초등학교,서울특별시북부교육지원청,1851,서울특별시 노원구 섬밭로 144,/ 용원초등학교 (공릉동/ 서울용원초등학교),19950625,19960506,B10,20230326,37.62929219999999,127.068908
공립,7051148,서울용동초등학교,서울특별시북부교육지원청,1789,서울특별시 노원구 한글비석로1길 81-11,(중계동/용동초등학교),19910325,19920423,B10,20230326,37.6415556,127.0694706
공립,7051147,서울온곡초등학교,서울특별시북부교육지원청,1671,서울특별시 노원구 한글비석로52길 59,(상계동/온곡초등학교),19880209,19881010,B10,20230326,37.6673966,127.0660012
공립,7051146,서울오봉초등학교,서울특별시북부교육지원청,1310,서울특별시 도봉구 시루봉로 285,/ 서울오봉초등학교 (도봉동),20000301,20000301,B10,20230326,37.6716461,127.0403614
공립,7051145,서울연촌초등학교,서울특별시북부교육지원청,1810,서울특별시 노원구 공릉로58길 36,/ 서울연촌초등학교 (하계동),19451110,19451110,B10,20230326,37.6342351,127.0729923
공립,7051144,서울연지초등학교,서울특별시북부교육지원청,1864,서울특별시 노원구 월계로55길 48,(월계동),19980301,19980612,B10,20230326,37.6334872,127.059949
공립,7051143,서울쌍문초등학교,서울특별시북부교육지원청,1378,서울특별시 도봉구 우이천로 360,/ 서울쌍문초등학교 (쌍문동/쌍문초등학교),19740430,19740430,B10,20230326,37.6486928,127.0244709
공립,7051142,서울신화초등학교,서울특별시북부교육지원청,1482,서울특별시 도봉구 우이천로 120,/ 신화초등학교 (창동),19840730,19841030,B10,20230326,37.6324968,127.0412371
공립,7051141,서울신학초등학교,서울특별시북부교육지원청,1362,서울특별시 도봉구 방학로 247-21,(방학동),19880109,19880504,B10,20230326,37.6607824,127.0252853
공립,7051140,서울신창초등학교,서울특별시북부교육지원청,1480,서울특별시 도봉구 덕릉로60길 93,/ 신창초등학교 (창동),19710105,19710512,B10,20230326,37.6362593,127.0421388
공립,7051139,서울신상계초등학교,서울특별시북부교육지원청,1639,서울특별시 노원구 상계로 267,/ 신상계초등학교 (상계동),19700522,19700522,B10,20230326,37.6679336,127.075807
공립,7051138,서울신방학초등학교,서울특별시북부교육지원청,1316,서울특별시 도봉구 시루봉로 173,/ 서울신방학초등학교 (방학동),19860424,19860424,B10,20230326,37.6657588,127.0294466
공립,7051137,서울신계초등학교,서울특별시북부교육지원청,1877,서울특별시 노원구 초안산로 29,(월계동/신계초등학교),19810701,19821021,B10,20230326,37.6300141,127.0531359
공립,7051136,서울숭미초등학교,서울특별시북부교육지원청,1380,서울특별시 도봉구 노해로 179,(쌍문동/숭미초등학교),19810610,19831103,B10,20230326,37.65078949999999,127.0278271
공립,7051135,서울수암초등학교,서울특별시북부교육지원청,1725,서울특별시 노원구 중계로12길 9,(중계동/수암초등학교),20000301,20000607,B10,20230326,37.6481307,127.0815553
공립,7051134,서울수락초등학교,서울특별시북부교육지원청,1602,서울특별시 노원구 동일로 1745,(상계동/서울수락초등학교),19830406,19830406,B10,20230326,37.68400690000001,127.0545469
공립,7051133,서울선곡초등학교,서울특별시북부교육지원청,1899,서울특별시 노원구 광운로2길 1,/ 서울선곡초등학교 (월계동),19740901,19750313,B10,20230326,37.6184276,127.0581667
공립,7051132,서울상천초등학교,서울특별시북부교육지원청,1765,서울특별시 노원구 덕릉로 443,/ 서울상천초등학교 (상계동),19890930,19890930,B10,20230326,37.6460078,127.0579021
공립,7051131,서울상월초등학교,서울특별시북부교육지원청,1687,서울특별시 노원구 동일로221길 27,(상계동),19900120,19900529,B10,20230326,37.6584826,127.0571666
공립,7051130,서울상원초등학교,서울특별시북부교육지원청,1672,서울특별시 노원구 한글비석로54길 119,(상계동),19890513,19890930,B10,20230326,37.6675992,127.0600929
공립,7051129,서울상수초등학교,서울특별시북부교육지원청,1755,서울특별시 노원구 동일로216길 66,/ 서울상수초등학교 (상계동),19880209,19881008,B10,20230326,37.6516221,127.0648872
공립,7051128,서울상곡초등학교,서울특별시북부교육지원청,1677,서울특별시 노원구 노원로38길 34,/ 서울상곡초등학교 (상계동),19880928,19890503,B10,20230326,37.6623987,127.0624797
공립,7051127,서울상계초등학교,서울특별시북부교육지원청,1685,서울특별시 노원구 상계로9길 39,/ 서울상계초등학교 (상계동),19460911,19460911,B10,20230326,37.6591835,127.065985
공립,7051126,서울상경초등학교,서울특별시북부교육지원청,1618,서울특별시 노원구 수락산로 237,(상계동/상경초등학교),19890504,19890504,B10,20230326,37.6703503,127.0516941
공립,7051125,서울불암초등학교,서울특별시북부교육지원청,1721,서울특별시 노원구 중계로 178,/ 서울불암초등학교 (중계동),19930901,19931101,B10,20230326,37.6511319,127.0805262
공립,7051124,서울백운초등학교,서울특별시북부교육지원청,1368,서울특별시 도봉구 삼양로146길 17,(쌍문동),19800520,19800930,B10,20230326,37.653036,127.0136408
공립,7051123,서울방학초등학교,서울특별시북부교육지원청,1357,서울특별시 도봉구 도당로9길 34,/ 방학초등학교 (방학동),19820707,19821007,B10,20230326,37.6639166,127.032101
공립,7051122,서울동일초등학교,서울특별시북부교육지원청,1619,서울특별시 노원구 한글비석로 566,/ 동일초등학교 (상계동),19880928,19890425,B10,20230326,37.6649689,127.0547222
공립,7051121,서울도봉초등학교,서울특별시북부교육지원청,1313,서울특별시 도봉구 도봉로173길 96,(도봉동),19660628,19660905,B10,20230326,37.6793606,127.0383592
공립,7051120,서울덕암초등학교,서울특별시북부교육지원청,1645,서울특별시 노원구 덕릉로112길 68,/ 서울덕암초등학교 (상계동),20030106,20030501,B10,20230326,37.6665607,127.081256
공립,7051119,서울당현초등학교,서울특별시북부교육지원청,1764,서울특별시 노원구 동일로213길 52,/ 서울당현초등학교 (상계동),19880209,19880418,B10,20230326,37.6486335,127.0583815
공립,7051118,서울누원초등학교,서울특별시북부교육지원청,1318,서울특별시 도봉구 마들로 859-44,(도봉동),19930720,19931111,B10,20230326,37.6865304,127.0495373
공립,7051117,서울녹천초등학교,서울특별시북부교육지원청,1907,서울특별시 노원구 마들로3길 34,/ 서울녹천초등학교 (월계동),19950110,19951004,B10,20230326,37.6286552,127.0634321
공립,7051116,서울노일초등학교,서울특별시북부교육지원청,1613,서울특별시 노원구 동일로 1625,(상계동/노일초등학교),19941110,19941110,B10,20230326,37.6732795,127.0547887
공립,7051115,서울노원초등학교,서울특별시북부교육지원청,1629,서울특별시 노원구 동일로230나길 32,(상계동/ 노원초등학교),19720902,19730904,B10,20230326,37.6729987,127.0583228
공립,7051114,서울공연초등학교,서울특별시북부교육지원청,1841,서울특별시 노원구 동일로192가길 16,(공릉동/서울공연초등학교),19820707,19821021,B10,20230326,37.6270289,127.0743858
공립,7051113,서울공릉초등학교,서울특별시북부교육지원청,1861,서울특별시 노원구 동일로173길 12,(공릉동/서울공릉초등학교),19790404,19790404,B10,20230326,37.6190942,127.0743075
공립,7051112,서울계상초등학교,서울특별시북부교육지원청,1680,서울특별시 노원구 한글비석로41가길 24,(상계동),19830701,19831116,B10,20230326,37.6630072,127.0679325
공립,7051111,서울가인초등학교,서울특별시북부교육지원청,1397,서울특별시 도봉구 도봉로136다길 4,(창동/가인초등학교),20031230,20040514,B10,20230326,37.6598383,127.0432608
사립,7051110,상명초등학교,서울특별시북부교육지원청,1758,서울특별시 노원구 덕릉로 541,/ 상명초등학교 (중계동),19640206,19640206,B10,20230326,37.6484812,127.0675404
사립,7051109,동북초등학교,서울특별시북부교육지원청,1375,서울특별시 도봉구 시루봉로 53,/ 동북초등학교 (쌍문동),19640404,19640915,B10,20230326,37.6553087,127.0267571
공립,7041267,서울항동초등학교,서울특별시남부교육지원청,8368,서울특별시 구로구 연동로 178,(항동),20190301,20190501,B10,20230326,37.4824917,126.8242653
공립,7041266,서울하늘숲초등학교,서울특별시남부교육지원청,8350,서울특별시 구로구 오리로 1106,/ 서울하늘숲초등학교 (천왕동),20190501,20190501,B10,20230326,37.4850481,126.8419564
공립,7041260,서울금나래초등학교,서울특별시남부교육지원청,8611,서울특별시 금천구 시흥대로79길 37,(시흥동),20170301,20170410,B10,20230326,37.4581332,126.8962769
공립,7041254,서울천이초등학교,서울특별시남부교육지원청,8350,서울특별시 구로구 오류로 30,/ 서울천이초등학교 (오류동),20160329,20160329,B10,20230326,37.4897685,126.8406895
공립,7041209,서울천왕초등학교,서울특별시남부교육지원청,8364,서울특별시 구로구 천왕로1길 11,(천왕동),20110901,20110901,B10,20230326,37.4814477,126.8370797
공립,7041161,서울탑동초등학교,서울특별시남부교육지원청,8575,서울특별시 금천구 탑골로 47-3,(시흥동/ 탑동초등학교),19670915,19671204,B10,20230326,37.4526773,126.9144646
공립,7041160,서울정심초등학교,서울특별시남부교육지원청,8556,서울특별시 금천구 독산로78다길 89,/ 정심초등학교 (독산동),19821110,19830502,B10,20230326,37.4715317,126.9082847
공립,7041159,서울윤중초등학교,서울특별시남부교육지원청,7322,서울특별시 영등포구 여의나루로2길 14,(여의도동),19791226,19800404,B10,20230326,37.5194933,126.9228233
공립,7041158,서울우신초등학교,서울특별시남부교육지원청,7347,서울특별시 영등포구 신길로 190,(신길동/우신초등학교),19150305,19150426,B10,20230326,37.5094002,126.9118385
공립,7041157,서울온수초등학교,서울특별시남부교육지원청,8260,서울특별시 구로구 부일로 893,(온수동),19840127,19840919,B10,20230326,37.4938548,126.8260896
공립,7041156,서울오정초등학교,서울특별시남부교육지원청,8359,서울특별시 구로구 경인로2길 10,/ 서울오정초등학교 (오류동),19860109,19860429,B10,20230326,37.4896946,126.8263378
공립,7041155,서울오류초등학교,서울특별시남부교육지원청,8268,서울특별시 구로구 경인로19길 39,/ 서울오류초등학교 (오류동),19430523,19430523,B10,20230326,37.4985866,126.8420766
공립,7041154,서울오류남초등학교,서울특별시남부교육지원청,8342,서울특별시 구로구 서해안로24길 22,(오류동/ 오류남초등학교),19820408,19820601,B10,20230326,37.4894213,126.8385269
공립,7041153,서울영중초등학교,서울특별시남부교육지원청,7245,서울특별시 영등포구 양산로 185,/ 서울영중초등학교 (영등포동7가),19490401,19491025,B10,20230326,37.523603,126.9038836
공립,7041152,서울영일초등학교,서울특별시남부교육지원청,8321,서울특별시 구로구 남부순환로105길 218,/ 서울영일초등학교 (가리봉동),19671129,19671129,B10,20230326,37.4853929,126.8838471
공립,7041151,서울영원초등학교,서울특별시남부교육지원청,7365,서울특별시 영등포구 도영로 22길 31,(도림동),20020901,20020901,B10,20230326,37.5105382,126.9022395
공립,7041150,서울영신초등학교,서울특별시남부교육지원청,7350,서울특별시 영등포구 도신로60길 23,(신길동),19671127,19671102,B10,20230326,37.5098084,126.9184286
공립,7041149,서울영서초등학교,서울특별시남부교육지원청,8370,서울특별시 구로구 도림로20길 57,/ 영서초등학교 (구로동),19790202,19790928,B10,20230326,37.4882669,126.8951118
공립,7041148,서울영문초등학교,서울특별시남부교육지원청,7281,서울특별시 영등포구 문래로 56,/ 서울영문초등학교 (문래동6가),20050105,20050508,B10,20230326,37.5196828,126.8876827
공립,7041147,서울영림초등학교,서울특별시남부교육지원청,7445,서울특별시 영등포구 시흥대로173길 14,/ 서울영림초등학교 (대림동),19820707,19821004,B10,20230326,37.4871601,126.9028714
공립,7041146,서울영등포초등학교,서울특별시남부교육지원청,7363,서울특별시 영등포구 경인로 756,(문래동1가),19451101,19451101,B10,20230326,37.5128239,126.8985316
공립,7041145,서울영동초등학교,서울특별시남부교육지원청,7229,서울특별시 영등포구 국회대로53길 20,/ (당산동/ 영동초등학교) (당산동),19560517,19560517,B10,20230326,37.5265582,126.9073056
공립,7041144,서울영남초등학교,서울특별시남부교육지원청,8551,서울특별시 금천구 문성로 62-15,(독산동),19560326,19560517,B10,20230326,37.4757357,126.9095497
공립,7041143,서울여의도초등학교,서울특별시남부교육지원청,7341,서울특별시 영등포구 여의대방로 439,/ 서울여의도초등학교 (여의도동),19711101,19711101,B10,20230326,37.5229009,126.9365032
공립,7041142,서울안천초등학교,서울특별시남부교육지원청,8597,서울특별시 금천구 한내로 69-16,/ 서울안천초등학교 (독산동),19910121,19911004,B10,20230326,37.4581877,126.8885152
공립,7041141,서울신흥초등학교,서울특별시남부교육지원청,8569,서울특별시 금천구 독산로36나길 21,(시흥동/ 신흥초등학교),19911030,19911030,B10,20230326,37.4594345,126.9088506
공립,7041140,서울신영초등학교,서울특별시남부교육지원청,7378,서울특별시 영등포구 도신로4길 32,(대림동/신영초등학교),19820707,19821011,B10,20230326,37.5004065,126.8959699
공립,7041139,서울신미림초등학교,서울특별시남부교육지원청,8211,서울특별시 구로구 신도림로 26,(신도림동/ 신미림초등학교),20020301,20020607,B10,20230326,37.5067008,126.8795258
공립,7041138,서울신도림초등학교,서울특별시남부교육지원청,8201,서울특별시 구로구 신도림로19길 44,/ 서울신도림초등학교 (신도림동),19821022,19821022,B10,20230326,37.5123288,126.8829078
