관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
360,대형할인마트,하나로마트,서울특별시 강동구 성내동,127.120307,37.5287912,(주)농협유통 하나로마트 성내점,서울특별시 강동구 성내동 451번지,서울특별시 강동구 올림픽로 528 (성내동),"X :127.120307, Y :37.5287912"
361,대형할인마트,이마트,서울특별시 강동구 명일동,127.155816,37.5546627,신세계 이마트 명일점,서울특별시 강동구 명일동 46-4호,서울특별시 강동구 고덕로 276 이마트 명일점,"X :127.155816, Y :37.5546627"
362,지역시장,양지종합시장,서울특별시 강동구 암사동,127.136987,37.555749,양지종합시장,서울특별시 강동구 암사동 451-16호,서울특별시 강동구 고덕로27길 15-26,"X :127.136987, Y :37.5557490"
363,대형슈퍼,GS슈퍼,서울특별시 용산구 한강로3가,126.967444,37.5258999,GS THE FRESH 용산해링턴점,서울특별시 용산구 한강로3가 63-70,"서울특별시 용산구 서빙고로 17, 용산해링턴스퀘어 C동 1층 111~115호 (한강로3가)","X :126.967444, Y :37.5258999"
364,대형슈퍼,롯데슈퍼,서울특별시 용산구 원효로1가,126.96762,37.5382977,롯데쇼핑(주)롯데슈퍼원효로점,서울특별시 용산구 원효로1가 133-3,서울특별시 용산구 백범로 341 (원효로1가),"X :126.967620, Y :37.5382977"
365,백화점,롯데백화점,서울특별시 송파구 신천동,127.104765,37.513579,롯데백화점 에비뉴엘 월드타워점,서울특별시 송파구 신천동 29번지,서울특별시송파구 올림픽로 300 롯데월드몰 B2,"X :127.104765, Y :37.5135790"
366,대형할인마트,롯데마트,서울특별시 송파구 신천동,127.104765,37.513579,롯데쇼핑(주) 롯데마트 월드타워점,서울특별시 송파구 신천동 29-롯데월드타워앤드롯데월드몰,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 (신천동)","X :127.104765, Y :37.5135790"
367,대형슈퍼,롯데슈퍼,서울특별시 송파구 송파동,127.114524,37.5050556,롯데쇼핑(주)롯데슈퍼송파점,"서울특별시 송파구 송파동 121-한양2차아파트 1층 6,7호호","서울특별시 송파구 가락로 183, 1층 6,7호 (송파동)","X :127.114524, Y :37.5050556"
368,대형슈퍼,롯데슈퍼,서울특별시 송파구 풍납동,127.117003,37.5279385,롯데쇼핑(주)롯데슈퍼풍납점,서울특별시 송파구 풍납동 400-5호101호,서울특별시 송파구 강동대로9길 20 (풍납동),"X :127.117003, Y :37.5279385"
369,대형슈퍼,롯데슈퍼,서울특별시 송파구 방이동,127.109086,37.5141788,롯데쇼핑(주)롯데슈퍼방이점,서울특별시 송파구 방이동 63-11호,서울특별시 송파구 올림픽로32길 20 (방이동),"X :127.109086, Y :37.5141788"
