ÁÂÇ¥Á¤º¸(X),ÁÂÇ¥Á¤º¸(Y)
190644.1207,446104.9252
190408.5091,447298.0222
191691.1679,446411.0071
190408.5091,447298.0222
,
,
,
,
190307.5283,446742.5563
,
192643.7024,445431.5209
,
190916.9114,443681.7667
,
,
,
191590.8783,446489.4195
,
191087.759,446157.4373
193393.0966,446218.4438
191385.0574,446098.5559
192275.2997,443891.0734
193326.931,446973.9146
190916.9114,443681.7667
191800.7282,443809.7739
191157.1393,444953.0052
191936.2544,444885.1687
192712.7693,445770.103
193592.0004,447092.6294
189877.0323,446801.7823
190721.4179,444571.7693
193273.484,445011.2501
196587.0306,444939.4554
194064.9941,444089.8383
197507.8344,442470.9296
193896.3848,444196.4848
193699.1899,444190.8446
198202.4725,442471.241
194963.2747,444866.8456
197802.0549,443049.4715
193393.3064,445577.5132
195489.4234,444995.6756
194941.0306,443848.079
195585.914,443690.5954
192170.1558,443599.419
192096.3496,442339.2136
194203.8252,441229.9292
192893.3475,440903.8196
196338,442951
196912.8336,441358.8932
195274.3433,442663.4986
194770.4174,442676.8314
192674.8859,441352.7435
198449.0022,441337.859
193754.4274,442407.2012
195431.4654,441896.3029
196501.1598,441640.881
194486.2705,442632.4695
194486.2705,442632.4695
195206.0569,442716.3017
195963.3353,442381.536
196257.8337,443341.3794
193957.9443,441437.7749
203204.7556,440136.7812
193746.8338,442510.7751
195703.0437,442094.0858
,
198660.6163,443855.5734
198791.788,444392.6725
202216.05,443352.0246
201501.6727,442505.5731
198776.1135,444432.3252
202250.1452,443143.7846
198492.7972,442199.2683
199448.513,444800.5508
201230.6934,445992.4593
201295.7,443474.5249
201107.6347,443999.0671
202058.6747,444618.1673
198984.3648,443229.8359
203123.8704,439984.8475
198776.1135,444432.3252
202245.3779,442987.987
200554.744,444811.3648
203204.7556,440136.7812
,
201472.6689,444193.267
201160.0456,444426.5643
201994.292,445091.8767
203764.7866,442286.2292
202440.3389,447782.5132
205034.1584,446675.9324
204992.4516,443183.5761
205154.6381,443439.9816
205558.1599,444312.0789
206581.7871,443555.9912
206581.7871,443555.9912
205170.9597,445264.9363
202296.996,444335.0137
204447.069,446008.5428
205314.1599,445204.7093
205130.5917,445590.0968
205340.6311,445354.5711
202485.2265,447521.5203
205209.7471,443490.8173
204213.6432,444113.0282
203292.307,446247.5115
204538.1449,442942.8535
204652.111,445353.1744
203789.5881,446796.1283
202023.3952,445302.9159
202010.0103,445368.1318
202599.5121,445700.2739
204391.4254,447439.7524
203641.0768,443854.8969
202957.2867,443437.6825
203322.586,445590.729
203675.905,445926.1197
205359.8987,445864.8059
204254.783,442744.8477
202023.3952,445302.9159
205886.2868,443467.6118
204213.6432,444113.0282
201757.4941,446282.4545
203005.088,445311.31
203050.7839,446316.514
207748.4871,443240.945
202358.5057,447232.9557
205210.3588,445154.4223
203191.2571,447312.9037
202167.013,446808.0756
